key_write_count_millions,alwa_fdp_rocks,alwa_rocksdb_fdp,dlwa_fdp_rocks,dlwa_rocksdb_fdp
0.0,3.6045105756543667,3.769447044459417,1.0,1.0
5.0,3.6045105756543667,3.8970647862604255,1.0126039046167499,1.0115639014272186
10.0,4.9076010800183525,5.069489441541611,1.0044226346926073,1.0042949042911162
15.0,5.421554727476258,5.7957775629580714,1.0026765286406587,1.0024621849748836
20.0,6.140352974971506,6.525489203464783,1.0017812129565342,1.0016773876276328
25.0,6.499062288660242,7.039178450190559,1.0013288588966056,1.0012277007633028
30.0,7.216990881862861,7.578090223548199,1.001015644103485,1.0009379039982922
35.0,7.520907998938455,7.702872303341191,1.0008333284277453,1.001163799166074
40.0,7.626831568902228,7.828829739992017,1.00072290015759,1.0020044148563887
45.0,8.265458380261917,7.9548124626822,1.0007696780026798,1.0083359177160602
50.0,8.794758882671601,8.444599986403961,1.001196478937552,1.0208644840623005
55.0,9.791377032240197,8.690676520411108,1.0015783329733094,1.0321503111087622
60.0,8.560160732170678,7.823910161407032,1.0031093006805587,1.040058364420391
65.0,8.193241198358908,7.752819402173352,1.0048280996910868,1.0504812689835168
70.0,8.094222073847622,7.436338414170465,1.006152855533647,1.062088039371593
75.0,7.787512482972189,7.387169085283472,1.009316108473677,1.0720430253201283
80.0,7.625476910228346,7.349971809968003,1.0119759973339042,1.0816204481912985
85.0,7.6629442493033375,7.239609431143869,1.0164134977651893,1.0922694634335537
90.0,7.652875845228775,7.141042900019838,1.0203776947616408,1.103826317605228
95.0,7.567693119108807,7.110483460126917,1.026428702433942,1.1145517873228485
100.0,7.564175880726448,7.1091256985151965,1.031931864089655,1.126024605948092
105.0,7.4933765148499605,7.083571642903099,1.03685596612139,1.1364504766966401
110.0,7.47436552099366,7.028209922275057,1.0410594251359762,1.146281673457852
115.0,7.450386219254808,6.9980140050745145,1.0438003568401655,1.1573223431056454
120.0,7.463276550151122,7.003229865820946,1.0480227174070884,1.1683019723841077
125.0,7.521519062758104,7.00617675457124,1.0531439318658338,1.1785101966391416
130.0,7.572536095608144,7.028061966089835,1.0569533402480695,1.1874910412611757
135.0,7.549043738653196,7.0355352622772935,1.0618626896853074,1.1972173123153442
140.0,7.578738313284785,7.049423187793654,1.0671234342915321,1.20785238440789
145.0,7.597663677901182,7.043896996318198,1.071619470271472,1.2177542115795517
150.0,7.626833617376428,7.048894482323425,1.0750515507955019,1.2238821879152972
