key_write_count_millions,alwa_fdp_rocks,alwa_rocksdb_fdp,dlwa_fdp_rocks,dlwa_rocksdb_fdp
0.0,3.6142834544995552,3.7378957063382745,1.0,1.0
5.0,3.6142834544995552,3.7378957063382745,1.0077890782685897,1.0135693537115908
10.0,4.740987571857219,5.091537509373068,1.0029677092642941,1.004943563119389
15.0,6.011451287387068,5.9698893955558425,1.0015647660375626,1.002788460557852
20.0,6.2652903846001315,6.550516309941714,1.0011463882333727,1.0018671342711867
25.0,6.840859759608249,6.796682562480763,1.0008414326929203,1.001430223626254
30.0,7.043436466543918,7.476252894068432,1.000673290817827,1.0010870597333372
35.0,7.478788346844116,7.547167329921288,1.0005458733563166,1.0015917169894266
40.0,7.726364602302584,7.7839744627804155,1.0004665350930977,1.0018509384899437
45.0,7.747185751276087,7.882714198733749,1.0007648533854787,1.0077228546446655
50.0,8.220704447604264,8.113775608755258,1.0015155871026804,1.01756950436174
55.0,13.0694318462627,11.9907624734685,1.0042452146366279,1.0313491028148587
60.0,13.102114826202769,11.930072650806956,1.0108006576047461,1.0512036861408902
65.0,13.216285846916447,12.188076181043854,1.0201166851923718,1.0753018406938908
70.0,13.77207260408938,12.290090107096683,1.0294853035930043,1.0971967349933947
75.0,13.573331511241173,12.2775605528951,1.0357304964335234,1.1191411436998007
80.0,13.66224174426632,12.318775290084238,1.04301593987859,1.1410059074781567
85.0,13.825695291933059,12.243232514606126,1.0534043179277213,1.1641359005909908
90.0,13.920088157770499,12.208755747204219,1.0629885082542703,1.1832559287099873
95.0,13.91710624300535,12.330092196889153,1.0702980297903248,1.2045815629080605
100.0,13.988137121563584,12.289932636152692,1.0768624129400348,1.2205472112249698
105.0,14.202553264793268,12.300608291744673,1.0865096378381403,1.2409424858163751
110.0,14.331642843760454,12.32811388801949,1.0927320659711712,1.2592125559435392
115.0,14.424580437966315,12.32606616433868,1.099982312406642,1.2755490011005588
120.0,14.517713017704581,12.329391901792432,1.1093466387396986,1.29147588824992
125.0,14.570715870049025,12.32378845370857,1.1155185989854688,1.3074279586520179
130.0,14.173294286032677,12.386429984021643,1.113209435836597,1.3208025036500124
135.0,13.765377728806483,12.470279803213145,1.1137745995063237,1.3359132321406832
140.0,13.427689403604242,12.503141956954073,1.1152090838404634,1.3509517679161909
145.0,13.797383616447197,12.53900736980019,1.1198942821140865,1.3643435383827742
150.0,13.57120432489306,12.577173380827515,1.1215229452827447,1.378133351289968
